Element-Name    E_S(Meter)       Beta(X)       Beta(Y)      Alpha(X)      Alpha(Y)      Gamma(X)      Gamma(Y)      Phase(X)      Phase(Y) 
      R2D27B        37.225       11.1722       4.27549      0.234006      0.470722     0.0944092      0.285717       2.39013       1.32744 
       R2HC3        37.225       11.1722       4.27549      0.234006      0.470722     0.0944092      0.285717       2.39013       1.32744 
       R2VC3        37.225       11.1722       4.27549      0.234006      0.470722     0.0944092      0.285717       2.39013       1.32744 
      R2D28A        37.355        11.113       4.15793      0.221733      0.433579     0.0944092      0.285717       2.39199       1.33234 
      R2SCN1        37.355        11.113       4.15793      0.221733      0.433579     0.0944092      0.285717       2.39199       1.33234 
      RXD28B        37.515       11.0444        4.0265      0.206628      0.387864     0.0944092      0.285717       2.39429       1.33857 
      R2BPM9        37.515       11.0444        4.0265      0.206628      0.387864     0.0944092      0.285717       2.39429       1.33857 
       R2U5D         38.05       10.8504       3.69326      0.156119      0.235005     0.0944092      0.285717       2.40207       1.36072 
        R2U5            40       10.6005       3.82691    -0.0279792     -0.302833     0.0944092      0.285271       2.43117       1.44733 
       U5BPM            40       10.6005       3.82691    -0.0279792     -0.302833     0.0944092      0.285271       2.43117       1.44733 
        R3U5         41.95       11.0686       6.03804     -0.212077     -0.827639     0.0944092      0.279062       2.45998       1.51368 
     R3U5DAA         42.12       11.1434       6.32751     -0.228127     -0.875079     0.0944092      0.279062       2.46241       1.51806 
       R3VC0         42.12       11.1434       6.32751     -0.228127     -0.875079     0.0944092      0.279062       2.46241       1.51806 
     R3U5DAB          42.2       11.1805        6.4693     -0.235679     -0.897404     0.0944092      0.279062       2.46355       1.52005 
      R3BPM0          42.2       11.1805        6.4693     -0.235679     -0.897404     0.0944092      0.279062       2.46355       1.52005 
      R3U5DB        42.775       11.4828       7.59358     -0.289965      -1.05786     0.0944092      0.279062       2.47164       1.53312 
       R3HC0        42.775       11.4828       7.59358     -0.289965      -1.05786     0.0944092      0.279062       2.47164       1.53312 
       R3VC1        42.775       11.4828       7.59358     -0.289965      -1.05786     0.0944092      0.279062       2.47164       1.53312 
        RXD2         42.91       11.5628       7.88429      -0.30271      -1.09554     0.0944092      0.279062        2.4735        1.5359 
      R3BPM1         42.91       11.5628       7.88429      -0.30271      -1.09554     0.0944092      0.279062        2.4735        1.5359 
        RXD3            43        11.618       8.08375     -0.311207      -1.12065     0.0944092      0.279062       2.47474       1.53769 
       R3QD1         43.35        14.244       7.35424      -7.66385       3.07038       4.19366       1.41785       2.47921       1.54469 
        RXD4          43.5       16.6375       6.46503       -8.2929        2.8577       4.19366       1.41785       2.48076       1.54816 
       R3HC1          43.5       16.6375       6.46503       -8.2929        2.8577       4.19366       1.41785       2.48076       1.54816 
        RXD5         43.65       19.2198       5.63962      -8.92195       2.64502       4.19366       1.41785       2.48209       1.55211 
       R3QF2            44       18.4709       5.76969       10.8013      -3.05974       6.37042       1.79594       2.48488       1.56247 
       R3D6A        44.325        12.123       7.94821       8.73089      -3.64342       6.37042       1.79594       2.48833       1.57011 
      R3VC1A        44.325        12.123       7.94821       8.73089      -3.64342       6.37042       1.79594       2.48833       1.57011 
      R3HC1A        44.325        12.123       7.94821       8.73089      -3.64342       6.37042       1.79594       2.48833       1.57011 
       R3D6B        44.595        7.8727       10.0466       7.01088      -4.12832       6.37042       1.79594       2.49273       1.57492 
       R3QD3        44.835       5.27111       11.3812       4.07093      -1.30753       3.33373      0.238078       2.49873       1.57845 
        RXD7         44.94       4.45297       11.6584       3.72089      -1.33252       3.33373      0.238078       2.50218       1.57991 
      R3BPM2         44.94       4.45297       11.6584       3.72089      -1.33252       3.33373      0.238078       2.50218       1.57991 
        RXD8         45.27       2.36023       12.5638       2.62076      -1.41109       3.33373      0.238078       2.51841       1.58425 
       RXDMX         46.49      0.790648       8.29813      -1.07797       4.03123        2.7345       2.07888       2.81491       1.60161 
        RXD9         46.85       1.92118       5.66506      -2.06239       3.28283        2.7345       2.07888       2.86209       1.60997 
       R3SD1         46.97       2.45553       4.90712      -2.39053       3.03337        2.7345       2.07888       2.87089        1.6136 
       RXD10         47.15       3.40472       3.88246      -2.88274       2.65917        2.7345       2.07888        2.8808       1.62016 
      R3BPM3         47.15       3.40472       3.88246      -2.88274       2.65917        2.7345       2.07888        2.8808       1.62016 
       RXD11         47.51       5.83468       2.23728      -3.86716       1.91077        2.7345       2.07888       2.89367       1.63965 
       R3QF4         47.86       6.49741       1.71129       2.19337     -0.241273      0.894339      0.618373       2.90222       1.66994 
       RXD12            48       5.90079       1.79096       2.06817     -0.327845      0.894339      0.618373       2.90582       1.68268 
       R3SF1         48.12       5.41731       1.87855       1.96085      -0.40205      0.894339      0.618373        2.9092        1.6931 
      R3D13A        48.475       4.13782       2.24194       1.64335     -0.621572      0.894339      0.618373       2.92114       1.72077 
      R3BPM4        48.475       4.13782       2.24194       1.64335     -0.621572      0.894339      0.618373       2.92114       1.72077 
      R3D13B        48.598       3.74708        2.4042       1.53335     -0.697632      0.894339      0.618373       2.92611       1.72921 
     R3EPBM1        48.598       3.74708        2.4042       1.53335     -0.697632      0.894339      0.618373       2.92611       1.72921 
      R3D13C        48.928       2.83247       2.93198       1.23822     -0.901695      0.894339      0.618373       2.94226       1.74904 
       R3VC2        48.928       2.83247       2.93198       1.23822     -0.901695      0.894339      0.618373       2.94226       1.74904 
       R3D14         49.06       2.52116        3.1808       1.12017     -0.983321      0.894339      0.618373       2.95013       1.75592 
     R3BPM4A         49.06       2.52116        3.1808       1.12017     -0.983321      0.894339      0.618373       2.95013       1.75592 
       R3D15         49.45       1.78346       4.04184      0.771374      -1.22449      0.894339      0.618373       2.97957       1.77327 
      RXDM2U       49.6574       1.55593       4.41887      0.420162     -0.787747      0.756165      0.366733       2.99947       1.78106 
      RXDM2D         50.67       1.88412        4.5097     -0.870313      0.937109      0.932769      0.416474       3.10604        1.8152 
      R3D16A        50.965       2.47878       3.99305      -1.14548      0.814249      0.932769      0.416474       3.12783       1.82628 
     R3BPM5A        50.965       2.47878       3.99305      -1.14548      0.814249      0.932769      0.416474       3.12783       1.82628 
      R3D16B        51.163       2.96895       3.68694      -1.33017      0.731788      0.932769      0.416474       3.13946       1.83449 
     R3EPBM3        51.163       2.96895       3.68694      -1.33017      0.731788      0.932769      0.416474       3.13946       1.83449 
      R3D17A        51.598        4.3027       3.12909      -1.73592      0.550621      0.932769      0.416474       3.15888       1.85493 
     R3EPBM4        51.598        4.3027       3.12909      -1.73592      0.550621      0.932769      0.416474       3.15888       1.85493 
      R3D17B         51.73       4.77724       2.99098      -1.85905      0.495647      0.932769      0.416474       3.16351        1.8618 
      R3BPM5         51.73       4.77724       2.99098      -1.85905      0.495647      0.932769      0.416474       3.16351        1.8618 
      R3D17C         51.88       5.35594       2.85166      -1.99896      0.433176      0.932769      0.416474       3.16823       1.86998 
       R3SF2            52       5.84912       2.75369       -2.1109      0.383199      0.932769      0.416474       3.17165        1.8768 
       RXD18         52.14       6.45846       2.65456      -2.24148      0.324893      0.932769      0.416474       3.17527       1.88504 
       R3QF5         52.49       5.83829       3.43906        3.8078      -2.81488       2.65477       2.59477       3.18384       1.90459 
       RXD19         52.93       3.00139       6.41851        2.6397      -3.95658       2.65477       2.59477        3.2006       1.91952 
